surname,eg
NASIMIYU,luhya
NASUMA,luhya
NYONGESA,luhya
MASIBO,luhya
ALUMASA,luhya
NASIMIYU,luhya
NYONGESA,luhya
MULWALE,luhya
DAVIS,kisii
NAFULA,luhya
WASIKE,luhya
WANYAMA,luhya
OMUKAH,luhya
WEKULO,luhya
WANYAMA,luhya
JUMA,luhya
NAFULA,luhya
NDIRANGU,kikuyu
KIAMA,kikuyu
WAIRIMU,kikuyu
WACHIRA,kikuyu
ATEMA,luhya
MURIITHI,kikuyu
KAHIA,kikuyu
NYAWIRA,kikuyu
MAINA,kikuyu
MWANGI,kikuyu
MBUTHIA,kikuyu
WACHERA,kikuyu
WARUINGI,kikuyu
SIMIYU,luhya
NANJALA,luhya
NASIMIYU,luhya
OJERO,luo
NYONGESA,luhya
NAMALWA,luhya
NELIMA,luhya
WEKESA,luhya
WAFULA,luhya
KATHAMBI,meru
KAWIRA,meru
MURITHI,meru
JABAN,meru
GACHIHI,meru
WAFULA,luhya
MAORE,meru
LEKALAILE,rendille
ILESUKUD,rendille
N,luhya
OMONDI,luo
ONDIEKI,luo
MBINDIO,luhya
ATILA,luhya
KISIANGANI,luhya
SALIM,turkana
MUTWIRI,meru
KATHAMBI,meru
WANJIKU,kikuyu
HASSAN,mijikenda
MUGA,kikuyu
KAWIRA,meru
MUGO,embu
KAMAU,kikuyu
AKAMWE,turkana
NJENGA,kikuyu
MOHAMED,somali
AHMED,turkana
MUTHONI,meru
NDUKO,kamba
WANJIKU,kikuyu
NAMORU,kisii
IRUNGU,kikuyu
CHEGE,kikuyu
KANGAI,meru
LOKOEN,turkana
NYASITA,turkana
LIHANDA,luhya
WERE,luhya
MURERWA,meru
EYANE,turkana
ESOKON,turkana
LODHIO,turkana
ALI,samburu
NYAGAH,kikuyu
KAMAU,kikuyu
KENDI,meru
ZUENA,borana
KATHURE,meru
EKUOT,turkana
KAGWIRIA,meru
KAIRUTHI,meru
MICHAEL,luo
KARAMBU,meru
ABDI,borana
NDIRANGU,kikuyu
WANJOHI,kikuyu
GAKIRIA,kikuyu
GACHARA,kikuyu
MWANGI,kikuyu
GATHAI,kikuyu
KANYI,samburu
WANJIKU,kikuyu
NTINYARI,meru
GITONGA,meru
TOO,kalenjin
MAGONGO,mijikenda
KURIA,kikuyu
WAMBUI,kikuyu
WANGUI,samburu
WANJIKU,samburu
MBUTHIA,kikuyu
MWANGI,kikuyu
ODHIAMBO,luo
WANJIKU,kikuyu
OCHIENG,luo
NYAMBURA,kikuyu
GICHUHI,kikuyu
KING'ORI,kikuyu
NJERI,kikuyu
WANJIRU,kikuyu
MUMBI,meru
MUGO,kikuyu
MWENDA,meru
WACEKE,kikuyu
MUERU,kikuyu
NYAMBURA,kikuyu
ACHOLA,luo
MODEGWA,luhya
OTUNDO,luo
OGOLLA,luo
OKOTH,luo
ANITA,luhya
JOHNSTONE,luo
OMONDI,luo
ONYANGO,luo
